2019-04-12 02:54:15.570308		trigger 1116514814547726336 (@elonmusk ) | tweet triggers: {'rocket'} | reply triggers: set()
2019-04-12 02:54:16.436046		trigger 1116514068393680896 (@elonmusk ) | tweet triggers: set() | reply triggers: {'falcon'}
2019-04-12 02:54:16.729314		trigger 1116486389321719808 (@elonmusk ) | tweet triggers: {'@spacex', '@nasa'} | reply triggers: set()
2019-04-12 02:54:17.263598		trigger 1116473976828522496 (@elonmusk ) | tweet triggers: {'falcon'} | reply triggers: set()
2019-04-12 02:54:17.583487		trigger 1116443003109793792 (@elonmusk ) | tweet triggers: {'pad', '@spacex', 'falcon'} | reply triggers: set()
2019-04-12 02:54:18.184946		trigger 1116396609451872256 (@elonmusk ) | tweet triggers: {'@spacex', '@nasa'} | reply triggers: {'@spacex', 'starship'}
2019-04-12 02:54:18.991156		trigger 1116110823015849985 (@elonmusk ) | tweet triggers: {'@spacex'} | reply triggers: {'falcon', 'spacex'}
2019-04-12 02:54:21.043444		trigger 1115998728878321672 (@elonmusk ) | tweet triggers: {'falcon'} | reply triggers: {'falcon'}
2019-04-12 02:54:22.845049		trigger 1116504846247649284 (@bocachicagal ) | tweet triggers: set() | reply triggers: {'launch'}
2019-04-12 02:54:22.846472		completed search
2019-04-12 03:24:27.170927		trigger 1116520613491826688 (@elonmusk ) | tweet triggers: {'earth'} | reply triggers: {'rocket'}
2019-04-12 03:24:31.019180		completed search
2019-04-12 03:33:43.832746		completed search
2019-04-12 03:44:19.553933		completed search
2019-04-12 03:46:20.124602		completed search
2019-04-12 03:48:19.734911		completed search
2019-04-12 03:50:20.225904		completed search
2019-04-12 03:52:19.564352		completed search
2019-04-12 03:54:20.271410		completed search
2019-04-12 03:56:16.354646		trigger 1116535104497602560 (@elonmusk ) | tweet triggers: {'spacex'} | reply triggers: {'falcon'}
2019-04-12 03:56:19.902930		completed search
2019-04-12 03:58:20.499391		completed search
